pipeline,clip,status,n_frames,elapsed_s,resumed,BR_mean,BR_std,K_mean,K_std,wIoU_mean,wIoU_std,CD_mean,CD_std,error
cb_canny_none_dp,bmx,OK,120,0.0,True,0.045000000000000005,6.938893903907228e-18,1.0,0.0,0.08294012421163162,0.05600730431365443,nan,0.0,
cb_canny_none_dp,car,OK,112,0.0,True,0.05544642857142858,0.021666646225788372,1.2321428571428572,0.4814810272397416,0.4830313357932508,0.30778395637507844,nan,0.0,
cb_canny_none_dp,sphere,OK,136,0.0,True,0.04797794117647058,0.013590365808912916,1.0661764705882353,0.3020081290869537,0.9968347509253691,0.00431011972015589,nan,0.0,
cb_canny_none_dp,vault,OK,314,0.0,True,1.0,0.0,89.95222929936305,16.15591661054982,0.44124764231706315,0.2808720206159702,nan,0.0,
cb_hed_nms_dp,bmx,OK,120,0.0,True,0.045000000000000005,6.938893903907228e-18,1.0,0.0,0.08294012421163162,0.05600730431365443,nan,0.0,
cb_hed_nms_dp,car,OK,112,0.0,True,0.08196428571428571,0.040879598599211475,1.8214285714285714,0.9084355244269217,0.47319463809565854,0.30273315428273334,nan,0.0,
cb_hed_nms_dp,sphere,OK,136,0.0,True,0.1280514705882353,0.05949905088874023,2.8455882352941178,1.322201130860894,0.9792764552659108,0.022638724857925487,nan,0.0,
cb_hed_nms_dp,vault,OK,314,0.0,True,0.0465764331210191,0.008273714344888505,1.035031847133758,0.1838603187753001,0.33620640804099566,0.3270826360805687,nan,0.0,
cb_hed_nms_ge,bmx,OK,120,0.0,True,0.045000000000000005,6.938893903907228e-18,1.0,0.0,0.08294012421163162,0.05600730431365443,nan,0.0,
cb_hed_nms_ge,car,OK,112,0.0,True,0.11169642857142856,0.05411443550571364,2.482142857142857,1.2025430112380808,0.4658252521789173,0.2973702934605914,nan,0.0,
cb_hed_nms_ge,sphere,OK,136,0.0,True,0.17900735294117645,0.07687800652404253,3.9779411764705883,1.708400144978723,0.9745986913447793,0.025771948798652442,nan,0.0,
cb_hed_nms_ge,vault,OK,314,0.0,True,0.04729299363057324,0.009895801816222207,1.0509554140127388,0.21990670702716014,0.3359609714135924,0.3267746723227778,nan,0.0,
cb_hed_steger_dp,bmx,OK,120,0.0,True,0.6027916666666667,0.1953029653228258,13.416666666666666,4.386690729417285,0.12399752900285445,0.06623910036130094,nan,0.0,
cb_hed_steger_dp,car,OK,112,0.0,True,1.0,0.0,37.035714285714285,4.2065607164552485,0.4633289236958576,0.3157675294257755,nan,0.0,
cb_hed_steger_dp,sphere,OK,136,0.0,True,0.7612867647058823,0.28129035417916265,18.323529411764707,7.856135063215747,0.957952799606579,0.02192076086096054,nan,0.0,
cb_hed_steger_dp,vault,OK,314,0.0,True,0.8602388535031847,0.1314005531547953,20.878980891719745,5.429748581845687,0.37612165139367176,0.30635258190206827,nan,0.0,
cb_hed_steger_ge,bmx,OK,120,0.0,True,0.6027916666666667,0.1953029653228258,13.416666666666666,4.386690729417285,0.12399752900285445,0.06623910036130094,nan,0.0,
cb_hed_steger_ge,car,OK,112,0.0,True,1.0,0.0,37.035714285714285,4.2065607164552485,0.4633289236958576,0.3157675294257755,nan,0.0,
cb_hed_steger_ge,sphere,OK,136,0.0,True,0.7612867647058823,0.28129035417916265,18.323529411764707,7.856135063215747,0.957952799606579,0.02192076086096054,nan,0.0,
cb_hed_steger_ge,vault,OK,314,0.0,True,0.8602388535031847,0.1314005531547953,20.878980891719745,5.429748581845687,0.37612165139367176,0.30635258190206827,nan,0.0,
